,Name,Sex,Age,Team,Games,Year,Season,Sport,Medal
118,ALI Amany,Female,45,Egypt,2020 Summer,2020,Summer,Powerlifting,0
119,ALI Ammar,Male,35,Iraq,2020 Summer,2020,Summer,Wheelchair Fencing,0
120,ALI Haider,Male,36,Pakistan,2020 Summer,2020,Summer,Athletics,3
121,ALI Huda,Female,44,Iraq,2020 Summer,2020,Summer,Powerlifting,0
122,ALI POUR Meisam,Male,31,Islamic Republic of Iran,2020 Summer,2020,Summer,Sitting Volleyball,3
123,ALIBASIC Safet,Male,38,Bosnia and Herzegovina,2020 Summer,2020,Summer,Sitting Volleyball,1
124,ALIBOEVA Vasila,Female,26,Uzbekistan,2020 Summer,2020,Summer,Judo,0
125,ALIEKSEIENKO Oleksandr,Male,37,Israel,2020 Summer,2020,Summer,Athletics,0
126,ALIEVA Maliak,Female,26,RPC,2020 Summer,2020,Summer,Table Tennis,2
127,ALIM Nur Syahidah,Female,35,Singapore,2020 Summer,2020,Summer,Archery,0
128,ALINAJIMI Vahid,Male,24,Islamic Republic of Iran,2020 Summer,2020,Summer,Athletics,0
129,ALIPOURIAN Davoud,Male,35,Islamic Republic of Iran,2020 Summer,2020,Summer,Sitting Volleyball,3
130,ALIYEV Kamil,Male,29,Azerbaijan,2020 Summer,2020,Summer,Athletics,0
131,ALJNEIBI Sara,Female,28,United Arab Emirates,2020 Summer,2020,Summer,Athletics,0
132,ALJUMAAH Sarah,Female,41,Saudi Arabia,2020 Summer,2020,Summer,Athletics,0
133,ALJUNEIDI Mutaz Zakaria Daoud,Male,45,Jordan,2020 Summer,2020,Summer,Powerlifting,0
134,ALKAN Huseyin,Male,33,Turkey,2020 Summer,2020,Summer,Goalball,0
135,ALKEMADE Kimberly,Female,31,Netherlands,2020 Summer,2020,Summer,Athletics,1
136,ALKTEBI Noura,Female,28,United Arab Emirates,2020 Summer,2020,Summer,Athletics,0
137,ALLAN Gordon,Male,23,Australia,2020 Summer,2020,Summer,Cycling Track,0
138,ALLARD Danik,Male,20,Canada,2020 Summer,2020,Summer,Boccia,0
139,ALLEN Grant,Male,40,Australia,2020 Summer,2020,Summer,Cycling Road,0
140,ALMANSOORI Ahmad Mubarak,Male,39,United Arab Emirates,2020 Summer,2020,Summer,Cycling Road,0
141,ALMEHAIRI Ayesha,Female,44,United Arab Emirates,2020 Summer,2020,Summer,Shooting,0
142,ALMEIDA RAMOS Aser Mateus,Male,29,Brazil,2020 Summer,2020,Summer,Athletics,0
143,ALMLIE Jazmin,Female,39,United States of America,2020 Summer,2020,Summer,Shooting,0
144,ALMONACID HEYL Vicente Enrique,Male,20,Chile,2020 Summer,2020,Summer,Swimming,0
145,ALMUTAIRI Ahmad,Male,26,Kuwait,2020 Summer,2020,Summer,Athletics,2
146,ALMYRISL Maryam,Female,39,Saudi Arabia,2020 Summer,2020,Summer,Table Tennis,0
147,ALNAKHLI Ali,Male,20,Saudi Arabia,2020 Summer,2020,Summer,Athletics,0
148,ALNUAIMI Saif,Male,43,United Arab Emirates,2020 Summer,2020,Summer,Shooting,0
149,ALOMARI Rooba,Female,30,Bahrain,2020 Summer,2020,Summer,Athletics,0
150,ALONSO MORALES Michelle,Female,27,Spain,2020 Summer,2020,Summer,Swimming,3
151,ALONSO VILARINO Maria,Female,38,Spain,2020 Summer,2020,Summer,Wheelchair Basketball,0
152,ALPHONSE Marie Emmanuelle Anais,Female,25,Mauritius,2020 Summer,2020,Summer,Athletics,0
153,ALQURASHI Adbulrahman,Male,23,Saudi Arabia,2020 Summer,2020,Summer,Athletics,1
154,ALRAOAD Naseb Fateh Mohammed,Male,32,Yemen,2020 Summer,2020,Summer,Athletics,0
